Sample,SeqRun,LibID,Read no,ID,Period,Line,SampleContent,Mean,Plant,Date,Week,Year,V13,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,V28,V29,V30,SSelect,week_mean_temperature
MQ190111-44,MQ190111,LIB-Randers-LT-199,50938,"",Spring,LT,AS,"",Randers,2015-05-12,20,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-1,MQ190111,LIB-Randers-LT-1,50442,"",Spring,LT,AS,"",Randers,2015-06-04,23,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-2,MQ190111,LIB-Randers-LT-5,30279,"",Summer,LT,AS,"",Randers,2015-07-02,27,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-3,MQ190111,LIB-Randers-LT-9,12629,"",Summer,LT,AS,"",Randers,2015-08-04,32,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-4,MQ190111,LIB-Randers-LT-13,50189,"",Fall,LT,AS,"",Randers,2015-09-22,39,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-5,MQ190111,LIB-Randers-LT-17,47090,"",Fall,LT,AS,"",Randers,2015-10-20,43,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-6,MQ190111,LIB-Randers-LT-21,26527,"",Fall,LT,AS,"",Randers,2015-11-20,47,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-7,MQ190111,LIB-Randers-LT-25,47311,"",Winter,LT,AS,"",Randers,2015-12-29,53,2015,,"","","","","","",,,,,,,,,,,"",,
MQ190111-8,MQ190111,LIB-Randers-LT-29,22469,"",Winter,LT,AS,"",Randers,2016-01-19,3,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-61,MQ190111,LIB-Randers-LT-313,29600,"",Winter,LT,AS,"",Randers,2016-01-23,3,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-9,MQ190111,LIB-Randers-LT-33,29324,"",Winter,LT,AS,"",Randers,2016-01-26,4,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-62,MQ190111,LIB-Randers-LT-317,14681,"",Winter,LT,AS,"",Randers,2016-01-30,4,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-10,MQ190111,LIB-Randers-LT-37,17577,"",Winter,LT,AS,"",Randers,2016-02-08,6,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-11,MQ190111,LIB-Randers-LT-41,29229,"",Winter,LT,AS,"",Randers,2016-02-16,7,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-12,MQ190111,LIB-Randers-LT-45,35416,"",Winter,LT,AS,"",Randers,2016-02-24,8,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-13,MQ190111,LIB-Randers-LT-49,30513,"",Winter,LT,AS,"",Randers,2016-03-01,9,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-14,MQ190111,LIB-Randers-LT-53,14969,"",Winter,LT,AS,"",Randers,2016-03-08,10,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-15,MQ190111,LIB-Randers-LT-57,26993,"",Spring,LT,AS,"",Randers,2016-03-15,11,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-16,MQ190111,LIB-Randers-LT-61,11453,"",Spring,LT,AS,"",Randers,2016-03-22,12,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-17,MQ190111,LIB-Randers-LT-65,45702,"",Spring,LT,AS,"",Randers,2016-03-29,13,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-18,MQ190111,LIB-Randers-LT-69,27490,"",Spring,LT,AS,"",Randers,2016-04-06,14,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-19,MQ190111,LIB-Randers-LT-73,44280,"",Spring,LT,AS,"",Randers,2016-04-11,15,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-20,MQ190111,LIB-Randers-LT-77,53831,"",Spring,LT,AS,"",Randers,2016-04-19,16,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-21,MQ190111,LIB-Randers-LT-81,48825,"",Spring,LT,AS,"",Randers,2016-04-25,17,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-22,MQ190111,LIB-Randers-LT-85,25767,"",Spring,LT,AS,"",Randers,2016-05-02,18,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-23,MQ190111,LIB-Randers-LT-89,42445,"",Spring,LT,AS,"",Randers,2016-05-09,19,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-24,MQ190111,LIB-Randers-LT-93,21447,"",Spring,LT,AS,"",Randers,2016-05-17,20,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-25,MQ190111,LIB-Randers-LT-97,44845,"",Spring,LT,AS,"",Randers,2016-05-26,21,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-26,MQ190111,LIB-Randers-LT-101,26215,"",Spring,LT,AS,"",Randers,2016-05-31,22,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-27,MQ190111,LIB-Randers-LT-105,45758,"",Spring,LT,AS,"",Randers,2016-06-06,23,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-28,MQ190111,LIB-Randers-LT-109,57283,"",Spring,LT,AS,"",Randers,2016-06-13,24,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-29,MQ190111,LIB-Randers-LT-113,42523,"",Summer,LT,AS,"",Randers,2016-06-20,25,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-30,MQ190111,LIB-Randers-LT-117,24468,"",Summer,LT,AS,"",Randers,2016-06-28,26,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-31,MQ190111,LIB-Randers-LT-121,42772,"",Summer,LT,AS,"",Randers,2016-07-04,27,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-32,MQ190111,LIB-Randers-LT-125,21451,"",Summer,LT,AS,"",Randers,2016-07-11,28,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-33,MQ190111,LIB-Randers-LT-129,38928,"",Summer,LT,AS,"",Randers,2016-07-18,29,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-34,MQ190111,LIB-Randers-LT-133,20110,"",Summer,LT,AS,"",Randers,2016-07-25,30,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-35,MQ190111,LIB-Randers-LT-137,35415,"",Summer,LT,AS,"",Randers,2016-08-01,31,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-36,MQ190111,LIB-Randers-LT-141,43001,"",Summer,LT,AS,"",Randers,2016-08-09,32,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-37,MQ190111,LIB-Randers-LT-145,36465,"",Summer,LT,AS,"",Randers,2016-08-16,33,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-38,MQ190111,LIB-Randers-LT-149,19208,"",Summer,LT,AS,"",Randers,2016-08-23,34,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-39,MQ190111,LIB-Randers-LT-153,34877,"",Summer,LT,AS,"",Randers,2016-08-29,35,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-40,MQ190111,LIB-Randers-LT-157,15855,"",Summer,LT,AS,"",Randers,2016-09-05,36,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-41,MQ190111,LIB-Randers-LT-169,45533,"",Summer,LT,AS,"",Randers,2016-09-13,37,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-42,MQ190111,LIB-Randers-LT-181,24974,"",Fall,LT,AS,"",Randers,2016-09-19,38,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-43,MQ190111,LIB-Randers-LT-193,45543,"",Fall,LT,AS,"",Randers,2016-09-26,39,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-45,MQ190111,LIB-Randers-LT-209,45427,"",Fall,LT,AS,"",Randers,2016-10-04,40,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-46,MQ190111,LIB-Randers-LT-221,25794,"",Fall,LT,AS,"",Randers,2016-10-10,41,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-47,MQ190111,LIB-Randers-LT-233,40873,"",Fall,LT,AS,"",Randers,2016-10-17,42,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-48,MQ190111,LIB-Randers-LT-245,21498,"",Fall,LT,AS,"",Randers,2016-10-24,43,2016,,"","","","","","",,,,,,,,,,,"",,
MQ190111-49,MQ190111,LIB-Randers-LT-257,41429,"",Fall,LT,AS,"",Randers,2016-10-31,44,2016,,"","","","","","",,,,,,,,,,,"",,
MQ201118-97,MQ201118,LIB-Randers-LT-584,,"",Winter,LT,AS,"",Randers,2019-01-14,3,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-98,MQ201118,LIB-Randers-LT-586,,"",Winter,LT,AS,"",Randers,2019-01-21,4,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-99,MQ201118,LIB-Randers-LT-588,,"",Winter,LT,AS,"",Randers,2019-01-28,5,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-100,MQ201118,LIB-Randers-LT-590,,"",Winter,LT,AS,"",Randers,2019-02-04,6,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-101,MQ201118,LIB-Randers-LT-592,,"",Winter,LT,AS,"",Randers,2019-02-11,7,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-102,MQ201118,LIB-Randers-LT-594,,"",Winter,LT,AS,"",Randers,2019-02-18,8,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-103,MQ201118,LIB-Randers-LT-596,,"",Winter,LT,AS,"",Randers,2019-02-25,9,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-104,MQ201118,LIB-Randers-LT-598,,"",Winter,LT,AS,"",Randers,2019-03-04,10,2019,,"","","","","","",,,,,,,,,,,"",,
MQ201118-105,MQ201118,LIB-Randers-LT-600,,"",Winter,LT,AS,"",Randers,2019-03-08,10,2019,,"","","","","","",,,,,,,,,,,"",,
